,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,County
3488,30806,Boneville,GA,33.527993,-82.5104,-5,1,"33.527993,-82.5104",McDuffie County
3547,31557,Patterson,GA,31.372403000000002,-82.10743000000001,-5,1,"31.372403,-82.10743",Tulsa County
3607,30470,Tarrytown,GA,32.309128,-82.52255,-5,1,"32.309128,-82.52255",Westchester County
3608,31535,Douglas,GA,31.464972999999997,-82.86325,-5,1,"31.464973,-82.86325",Douglas County
3655,31751,Fort Gaines,GA,31.631333,-85.03241,-5,1,"31.631333,-85.03241",Clay County
3656,31770,Newton,GA,31.33349,-84.36269,-5,1,"31.33349,-84.36269",Harvey County
3711,30006,Marietta,GA,33.912473,-84.557181,-5,1,"33.912473,-84.557181",Cobb County
3712,30019,Dacula,GA,33.981721,-83.88302,-5,1,"33.981721,-83.88302",Gwinnett County
3847,31008,Byron,GA,32.652313,-83.75918,-5,1,"32.652313,-83.75918",Cook County
3855,31034,Hardwick,GA,33.040103,-83.2182,-5,1,"33.040103,-83.2182",Caledonia County
3979,30129,Coosa,GA,34.333308,-85.233721,-5,1,"34.333308,-85.233721",n/a
4025,30678,White Plains,GA,33.46171,-83.05852,-5,1,"33.46171,-83.05852",Westchester County
4124,30121,Cartersville,GA,34.200264000000004,-84.77533000000001,-5,1,"34.200264,-84.77533",Bartow County
4165,30316,Atlanta,GA,33.729506,-84.34087,-5,1,"33.729506,-84.34087",Fulton County
4166,30380,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
4234,31634,Homerville,GA,31.062818,-82.72399,-5,1,"31.062818,-82.72399",Clinch County
4250,30573,Tallulah Falls,GA,34.742007,-83.397716,-5,1,"34.742007,-83.397716",Habersham County
4310,30069,Marietta,GA,33.912473,-84.557181,-5,1,"33.912473,-84.557181",Cobb County
4369,30464,Stillmore,GA,32.439708,-82.22278,-5,1,"32.439708,-82.22278",Emanuel County
4410,30290,Tyrone,GA,33.48012,-84.58724000000001,-5,1,"33.48012,-84.58724",Fayette County
4411,30537,Dillard,GA,34.977198,-83.35161,-5,1,"34.977198,-83.35161",Benton County
4455,31779,Pelham,GA,31.117271000000002,-84.15678,-5,1,"31.117271,-84.15678",Westchester County
4479,31050,Knoxville,GA,32.742084999999996,-83.94646,-5,1,"32.742085,-83.94646",Knox County
4666,31742,Dawson,GA,31.756995,-84.43356999999999,-5,1,"31.756995,-84.43357",Lac qui Parle County
4854,31045,Jewell,GA,33.285773999999996,-82.7749,-5,1,"33.285774,-82.7749",Douglas County
4914,30634,Dewy Rose,GA,34.212835999999996,-82.94112,-5,1,"34.212836,-82.94112",Elbert County
4915,31563,Surrency,GA,31.715778000000004,-82.19784,-5,1,"31.715778,-82.19784",Appling County
4923,30005,Alpharetta,GA,34.080034999999995,-84.21929,-5,1,"34.080035,-84.21929",Fulton County
4964,30056,Newborn,GA,33.500008,-83.67165,-5,1,"33.500008,-83.67165",Tulsa County
4965,30294,Ellenwood,GA,33.639658000000004,-84.26822,-5,1,"33.639658,-84.26822",Clayton County
4966,31405,Savannah,GA,32.043058,-81.12183,-5,1,"32.043058,-81.12183",Chatham County
4967,31598,Jesup,GA,31.578181,-81.880222,-5,1,"31.578181,-81.880222",Wayne County
5003,31025,Elko,GA,32.335147,-83.74571,-5,1,"32.335147,-83.74571",Elko County
5131,31832,Weston,GA,31.973540999999997,-84.62522,-5,1,"31.973541,-84.62522",Broward County
5132,31901,Columbus,GA,32.471492,-84.98005,-5,1,"32.471492,-84.98005",Franklin County
5184,30545,Helen,GA,34.713440999999996,-83.74189,-5,1,"34.713441,-83.74189",White County
5191,30062,Marietta,GA,33.99605,-84.47464000000001,-5,1,"33.99605,-84.47464",Cobb County
5251,30519,Buford,GA,34.089419,-83.94700999999999,-5,1,"34.089419,-83.94701",Gwinnett County
5252,31520,Brunswick,GA,31.166786,-81.49213,-5,1,"31.166786,-81.49213",Medina County
5325,30379,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
5326,30809,Evans,GA,33.551145,-82.13949000000001,-5,1,"33.551145,-82.13949",Washington County
5365,30457,Soperton,GA,32.387041,-82.58272,-5,1,"32.387041,-82.58272",Treutlen County
5366,31030,Fort Valley,GA,32.555679999999995,-83.88641,-5,1,"32.55568,-83.88641",Peach County
5377,31049,Kite,GA,32.69992,-82.51380999999999,-5,1,"32.69992,-82.51381",Sedgwick County
5405,30269,Peachtree City,GA,33.398992,-84.57061999999999,-5,1,"33.398992,-84.57062",Fayette County
5449,30214,Fayetteville,GA,33.47875,-84.47668,-5,1,"33.47875,-84.47668",Cumberland County
5450,30732,Oakman,GA,34.569015,-84.711863,-5,1,"34.569015,-84.711863",Walker County
5451,30904,Augusta,GA,33.474136,-82.01018,-5,1,"33.474136,-82.01018",Richmond County
5452,31061,Milledgeville,GA,33.083579,-83.23397,-5,1,"33.083579,-83.23397",Baldwin County
5532,30228,Hampton,GA,33.401827000000004,-84.30152,-5,1,"33.401827,-84.30152",n/a
5668,30807,Camak,GA,33.453039000000004,-82.64828,-5,1,"33.453039,-82.64828",Warren County
5669,31787,Smithville,GA,31.901065999999997,-84.25036999999999,-5,1,"31.901066,-84.25037",Clay County
5691,30259,Moreland,GA,33.277468,-84.75388000000001,-5,1,"33.277468,-84.75388",Santa Clara County
5692,30296,Riverdale,GA,33.564710999999996,-84.43987,-5,1,"33.564711,-84.43987",Sumner County
5693,30514,Blairsville,GA,34.903397999999996,-84.01915699999999,-5,1,"34.903398,-84.019157",Union County
5694,30815,Hephzibah,GA,33.32157,-82.08872,-5,1,"33.32157,-82.08872",Richmond County
5695,31560,Screven,GA,31.515981,-82.04908,-5,1,"31.515981,-82.04908",Screven County
5711,30172,Shannon,GA,34.333308,-85.233721,-5,1,"34.333308,-85.233721",Tulsa County
5712,30520,Canon,GA,34.338008,-83.09656,-5,1,"34.338008,-83.09656",Los Angeles County
5713,31096,Wrightsville,GA,32.71732,-82.68926,-5,1,"32.71732,-82.68926",New Hanover County
5734,30513,Blue Ridge,GA,34.851171,-84.32905,-5,1,"34.851171,-84.32905",Fannin County
5765,30034,Decatur,GA,33.693448,-84.24743000000001,-5,1,"33.693448,-84.24743",DeKalb County
5968,30756,Varnell,GA,34.9298,-84.988536,-5,1,"34.9298,-84.988536",Whitfield County
5969,31516,Blackshear,GA,31.307234,-82.25779,-5,1,"31.307234,-82.25779",Tom Green County
6005,31808,Fortson,GA,32.638884999999995,-85.00735999999999,-5,1,"32.638885,-85.00736",McLennan County
6115,30124,Cave Spring,GA,34.118206,-85.34000999999999,-5,1,"34.118206,-85.34001",Floyd County
6172,30144,Kennesaw,GA,34.038949,-84.59706,-5,1,"34.038949,-84.59706",Cobb County
6256,30341,Atlanta,GA,33.888102,-84.29321,-5,1,"33.888102,-84.29321",Fulton County
6257,30504,Gainesville,GA,34.274355,-83.87003,-5,1,"34.274355,-83.87003",Alachua County
6258,30742,Fort Oglethorpe,GA,34.948979,-85.25211999999999,-5,1,"34.948979,-85.25212",Catoosa County
6358,30327,Atlanta,GA,33.86427,-84.41972,-5,1,"33.86427,-84.41972",Fulton County
6359,31031,Gordon,GA,32.891498999999996,-83.32748000000001,-5,1,"32.891499,-83.32748",Butler County
6360,31556,Offerman,GA,31.412649,-82.11554100000001,-5,1,"31.412649,-82.115541",Pierce County
6383,31641,Naylor,GA,30.934298,-83.08841,-5,1,"30.934298,-83.08841",Burnet County
6479,30024,Suwanee,GA,34.052698,-84.07485,-5,1,"34.052698,-84.07485",Gwinnett County
6518,30220,Grantville,GA,33.230734000000005,-84.82543000000001,-5,1,"33.230734,-84.82543",San Diego County
6529,31070,Pinehurst,GA,32.185677,-83.76348,-5,1,"32.185677,-83.76348",Moore County
6530,31772,Oakfield,GA,31.723178000000004,-83.9628,-5,1,"31.723178,-83.9628",Fond du Lac County
6589,30321,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
6739,31009,Cadwell,GA,32.309003000000004,-83.02646999999999,-5,1,"32.309003,-83.02647",Benton County
6740,31424,Richmond Hill,GA,31.919866,-81.325815,-5,1,"31.919866,-81.325815",Bryan County
6749,31141,Atlanta,GA,33.891251000000004,-84.07455999999999,-5,1,"33.891251,-84.07456",Fulton County
6866,30288,Conley,GA,33.647275,-84.32753000000001,-5,1,"33.647275,-84.32753",Clayton County
6906,30447,Norristown,GA,32.505913,-82.49502,-5,1,"32.505913,-82.49502",Montgomery County
6924,31052,Lizella,GA,32.788484000000004,-83.80726,-5,1,"32.788484,-83.80726",Bibb County
7322,31565,Waverly,GA,31.066478999999998,-81.62656,-5,1,"31.066479,-81.62656",Bremer County
7374,30077,Roswell,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Chaves County
7376,31805,Cusseta,GA,32.285534999999996,-84.76332,-5,1,"32.285535,-84.76332",Chattahoochee County
7379,30071,Norcross,GA,33.940768,-84.2062,-5,1,"33.940768,-84.2062",Gwinnett County
7459,30731,Menlo,GA,34.553484999999995,-85.47893,-5,1,"34.553485,-85.47893",Montgomery County
7488,31648,Statenville,GA,30.703175,-83.02568000000001,-5,1,"30.703175,-83.02568",Echols County
7514,30572,Suches,GA,34.731084,-84.07943,-5,1,"34.731084,-84.07943",Union County
7515,31046,Juliette,GA,33.054590999999995,-83.78583,-5,1,"33.054591,-83.78583",Kings County
7596,30216,Flovilla,GA,33.251174,-83.89284,-5,1,"33.251174,-83.89284",Butts County
7597,31762,Leary,GA,31.454628000000003,-84.51726,-5,1,"31.454628,-84.51726",Bowie County
7624,30163,Rome,GA,34.333308,-85.233721,-5,1,"34.333308,-85.233721",Metropolitan City of Rome
7657,31550,Manor,GA,31.101953,-82.58299,-5,1,"31.101953,-82.58299",Travis County
7806,31107,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
7813,30562,Mountain City,GA,34.917466,-83.38486999999999,-5,1,"34.917466,-83.38487",Johnson County
7841,31027,Dublin,GA,32.569122,-82.80959,-5,1,"32.569122,-82.80959",n/a
7964,31011,Chauncey,GA,32.108676,-83.06006,-5,1,"32.108676,-83.06006",Lawrence County
7995,30012,Conyers,GA,33.696714,-84.01732,-5,1,"33.696714,-84.01732",Rockdale County
8066,31216,Macon,GA,32.730641,-83.6793,-5,1,"32.730641,-83.6793",Bibb County
8067,31726,Bronwood,GA,31.832214,-84.35727,-5,1,"31.832214,-84.35727",Terrell County
8068,31993,Columbus,GA,32.482141999999996,-84.977131,-5,1,"32.482142,-84.977131",Franklin County
8096,30703,Calhoun,GA,34.479065999999996,-84.76216099999999,-5,1,"34.479066,-84.762161",Gordon County
8203,30063,Marietta,GA,33.965294,-84.511209,-5,1,"33.965294,-84.511209",Cobb County
8204,30119,Carrollton,GA,33.618930999999996,-85.073582,-5,1,"33.618931,-85.073582",Dallas County
8315,30308,Atlanta,GA,33.771755,-84.38065,-5,1,"33.771755,-84.38065",Fulton County
8316,31003,Allentown,GA,32.600621999999994,-83.22095999999999,-5,1,"32.600622,-83.22096",Lehigh County
8367,30348,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
8368,31406,Savannah,GA,31.988676,-81.09116,-5,1,"31.988676,-81.09116",Chatham County
8446,30411,Alamo,GA,32.146031,-82.792,-5,1,"32.146031,-82.792",Tulsa County
8447,30803,Avera,GA,33.163467,-82.52017,-5,1,"33.163467,-82.52017",Lincoln County
8448,31553,Nahunta,GA,31.17326,-81.97244,-5,1,"31.17326,-81.97244",Wayne County
8498,31075,Rentz,GA,32.370333,-82.96091,-5,1,"32.370333,-82.96091",Pasco County
8499,31298,Macon,GA,32.873329999999996,-83.708399,-5,1,"32.87333,-83.708399",Bibb County
8553,31420,Savannah,GA,31.971394,-81.07155999999999,-5,1,"31.971394,-81.07156",Chatham County
8554,31637,Lenox,GA,31.291612,-83.45328,-5,1,"31.291612,-83.45328",Fulton County
8607,30374,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
8608,30528,Cleveland,GA,34.595859000000004,-83.76194,-5,1,"34.595859,-83.76194",Cuyahoga County
8752,31801,Box Springs,GA,32.527813,-84.59822,-5,1,"32.527813,-84.59822",Rogers County
8852,31785,Sasser,GA,31.689973,-84.32748000000001,-5,1,"31.689973,-84.32748",Terrell County
8924,30098,Duluth,GA,33.960353000000005,-84.037859,-5,1,"33.960353,-84.037859",St. Louis County
8925,31217,Macon,GA,32.839005,-83.56749,-5,1,"32.839005,-83.56749",Bibb County
8946,31418,Savannah,GA,31.971394,-81.07155999999999,-5,1,"31.971394,-81.07156",Chatham County
9025,30015,Covington,GA,33.555791,-83.864915,-5,1,"33.555791,-83.864915",Kenton County
9065,30076,Roswell,GA,34.032532,-84.31774,-5,1,"34.032532,-84.31774",Chaves County
9126,31302,Bloomingdale,GA,32.129474,-81.33121,-5,1,"32.129474,-81.33121",Allen County
9127,30911,Augusta,GA,33.386041,-82.09099599999999,-5,1,"33.386041,-82.090996",Richmond County
9128,31645,Ray City,GA,31.070627,-83.20286,-5,1,"31.070627,-83.20286",Berrien County
9270,30608,Athens,GA,33.944339,-83.38908,-5,1,"33.944339,-83.38908",n/a
9271,30812,Gracewood,GA,33.386041,-82.09099599999999,-5,1,"33.386041,-82.090996",Tulsa County
9316,30606,Athens,GA,33.945619,-83.41731999999999,-5,1,"33.945619,-83.41732",n/a
9319,31401,Savannah,GA,32.068658,-81.09258,-5,1,"32.068658,-81.09258",Chatham County
9323,30378,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
9365,30256,Meansville,GA,33.015476,-84.32186999999999,-5,1,"33.015476,-84.32187",Pike County
9366,31411,Savannah,GA,31.927434,-81.0425,-5,1,"31.927434,-81.0425",Chatham County
9396,30906,Augusta,GA,33.387089,-82.01236999999999,-5,1,"33.387089,-82.01237",Richmond County
9450,31314,Fort Stewart,GA,31.868699,-81.61083,-5,1,"31.868699,-81.61083",Liberty County
9557,31212,Macon,GA,32.806707,-83.691315,-5,1,"32.806707,-83.691315",Bibb County
9558,31319,Meridian,GA,31.478486,-81.34528,-5,1,"31.478486,-81.34528",Ada County
9612,30358,Atlanta,GA,33.998151,-84.34111999999999,-5,1,"33.998151,-84.34112",Fulton County
9613,31337,Lenox,GA,31.271852000000003,-83.45905400000001,-5,1,"31.271852,-83.459054",Fulton County
9631,30445,Mount Vernon,GA,32.186824,-82.59170999999999,-5,1,"32.186824,-82.59171",Fairfax County
9720,30043,Lawrenceville,GA,34.001159,-84.01487,-5,1,"34.001159,-84.01487",Gwinnett County
9768,30041,Cumming,GA,34.201503,-84.09764,-5,1,"34.201503,-84.09764",Forsyth County
9808,31209,Macon,GA,32.806707,-83.691315,-5,1,"32.806707,-83.691315",Bibb County
9880,30413,Bartow,GA,32.884137,-82.50969,-5,1,"32.884137,-82.50969",Polk County
9974,31308,Ellabell,GA,32.172661,-81.48447,-5,1,"32.172661,-81.48447",Bryan County
9986,30401,Swainsboro,GA,32.605196,-82.3391,-5,1,"32.605196,-82.3391",Emanuel County
9987,30650,Madison,GA,33.588436,-83.47936,-5,1,"33.588436,-83.47936",Dane County
10048,30410,Ailey,GA,32.196135999999996,-82.50985,-5,1,"32.196136,-82.50985",New York County
10049,30529,Commerce,GA,34.210423,-83.46842,-5,1,"34.210423,-83.46842",Jackson County
10050,31767,Morris,GA,31.834324,-84.94739,-5,1,"31.834324,-84.94739",Grundy County
10051,31823,Pine Mountain Valley,GA,32.801173999999996,-84.82038,-5,1,"32.801174,-84.82038",Harris County
10076,30390,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
10103,30075,Roswell,GA,34.049789000000004,-84.38539,-5,1,"34.049789,-84.38539",Chaves County
10149,30080,Smyrna,GA,33.87578,-84.50381999999999,-5,1,"33.87578,-84.50382",Cobb County
10165,31083,Scotland,GA,32.046427,-82.81923,-5,1,"32.046427,-82.81923",n/a
10277,30042,Lawrenceville,GA,33.929464,-84.103226,-5,1,"33.929464,-84.103226",Gwinnett County
10278,30343,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
10279,30810,Gibson,GA,33.236721,-82.58135,-5,1,"33.236721,-82.58135",Montgomery County
10325,30558,Maysville,GA,34.258054,-83.56058,-5,1,"34.258054,-83.56058",Mason County
10326,30738,Rising Fawn,GA,34.793833,-85.49945,-5,1,"34.793833,-85.49945",Dade County
10327,30741,Rossville,GA,34.96311,-85.27405,-5,1,"34.96311,-85.27405",Clinton County
10328,31297,Macon,GA,32.700450000000004,-83.657207,-5,1,"32.70045,-83.657207",Bibb County
10329,31626,Boston,GA,30.782963,-83.78882,-5,1,"30.782963,-83.78882",Suffolk County
10539,30060,Marietta,GA,33.932052,-84.54746,-5,1,"33.932052,-84.54746",Cobb County
10566,30309,Atlanta,GA,33.794055,-84.38525,-5,1,"33.794055,-84.38525",Fulton County
10567,31533,Douglas,GA,31.522042,-82.84153,-5,1,"31.522042,-82.84153",Douglas County
10595,30140,Felton,GA,33.88232,-85.234946,-5,1,"33.88232,-85.234946",Santa Cruz County
10706,30559,Mineral Bluff,GA,34.949754999999996,-84.28317,-5,1,"34.949755,-84.28317",Fannin County
10850,31905,Fort Benning,GA,32.373490000000004,-84.90612,-5,1,"32.37349,-84.90612",n/a
10949,30217,Franklin,GA,33.298014,-85.12243000000001,-5,1,"33.298014,-85.12243",Crawford County
10950,30910,Augusta,GA,33.386041,-82.09099599999999,-5,1,"33.386041,-82.090996",Richmond County
11018,30818,Matthews,GA,33.244828999999996,-82.32636,-5,1,"33.244829,-82.32636",Mecklenburg County
11019,31513,Baxley,GA,31.768849,-82.35198000000001,-5,1,"31.768849,-82.35198",Appling County
11040,30499,Reidsville,GA,32.050694,-81.998348,-5,1,"32.050694,-81.998348",Rockingham County
11041,31315,Fort Stewart,GA,31.886944,-81.60109,-5,1,"31.886944,-81.60109",Liberty County
11155,30599,Commerce,GA,34.130594,-83.587419,-5,1,"34.130594,-83.587419",Jackson County
