,ZIP,City,State,Latitude,Longitude,County,Median Income,Population
86,31213,Macon,GA,32.839289,-83.638752,Bibb County,-666666666,0
87,31636,Lake Park,GA,30.722890000000003,-83.13302,San Luis Obispo County,22008,10640
88,30058,Lithonia,GA,33.750257,-84.0964,DeKalb County,27221,57658
89,30669,Union Point,GA,33.652489,-83.08856999999998,Tulsa County,18477,3429
90,30157,Dallas,GA,33.892503999999995,-84.8346,Dallas County,32003,49342
91,30881,Atlanta,GA,33.793006,-84.504081,Fulton County,,
92,30322,Atlanta,GA,33.793754,-84.3238,Fulton County,2499,2847
93,30426,Girard,GA,33.032445,-81.63251,Crawford County,20893,782
94,30739,Rock Spring,GA,34.801988,-85.21956,Walker County,29036,6460
95,31013,Clinchfield,GA,32.338639,-83.692562,Unicoi County,,
96,30806,Boneville,GA,33.527993,-82.5104,McDuffie County,,
97,31557,Patterson,GA,31.372403,-82.10743000000002,Tulsa County,25316,3229
98,30470,Tarrytown,GA,32.309128,-82.52255,Westchester County,27708,338
99,31535,Douglas,GA,31.464973,-82.86325,Douglas County,23922,11865
100,31751,Fort Gaines,GA,31.631333,-85.03241,Clay County,,
101,31770,Newton,GA,31.33349,-84.36269,Harvey County,,
102,30006,Marietta,GA,33.912473,-84.557181,Cobb County,,
103,30019,Dacula,GA,33.981721,-83.88302,Gwinnett County,38465,49262
104,31008,Byron,GA,32.652313,-83.75918,Cook County,31807,18381
105,31034,Hardwick,GA,33.040103,-83.2182,Caledonia County,,
106,30129,Coosa,GA,34.333308,-85.233721,,,
107,30678,White Plains,GA,33.46171,-83.05852,Westchester County,21266,1242
108,30121,Cartersville,GA,34.200264000000004,-84.77533000000003,Bartow County,29138,23373
109,30316,Atlanta,GA,33.729506,-84.34087,Fulton County,32694,33172
110,30380,Atlanta,GA,33.844371,-84.47405,Fulton County,,
111,31634,Homerville,GA,31.062818,-82.72399,Clinch County,20275,5622
112,30573,Tallulah Falls,GA,34.742007,-83.397716,Habersham County,49114,219
113,30069,Marietta,GA,33.912473,-84.557181,Cobb County,,
114,30464,Stillmore,GA,32.439708,-82.22278,Emanuel County,16429,83
115,30290,Tyrone,GA,33.48012,-84.58724000000002,Fayette County,40398,8677
116,30537,Dillard,GA,34.977198,-83.35161,Benton County,21918,1534
117,31779,Pelham,GA,31.117271,-84.15678,Westchester County,22604,9998
118,31050,Knoxville,GA,32.742085,-83.94646,Knox County,14004,861
119,31742,Dawson,GA,31.756995,-84.43356999999997,Lac qui Parle County,,
120,31045,Jewell,GA,33.285774,-82.7749,Douglas County,-666666666,49
121,30634,Dewy Rose,GA,34.212836,-82.94112,Elbert County,19906,1802
122,31563,Surrency,GA,31.715778000000004,-82.19784,Appling County,23250,1296
123,30005,Alpharetta,GA,34.080034999999995,-84.21929,Fulton County,60757,40056
124,30056,Newborn,GA,33.500008,-83.67165,Tulsa County,29643,2217
125,30294,Ellenwood,GA,33.639658000000004,-84.26822,Clayton County,31439,41782
126,31405,Savannah,GA,32.043058,-81.12183,Chatham County,26627,37497
127,31598,Jesup,GA,31.578181,-81.880222,Wayne County,,
128,31025,Elko,GA,32.335147,-83.74571,Elko County,51757,866
129,31832,Weston,GA,31.973541,-84.62522,Broward County,17973,274
130,31901,Columbus,GA,32.471492,-84.98005,Franklin County,15057,6336
131,30545,Helen,GA,34.713441,-83.74189,White County,28750,698
132,30062,Marietta,GA,33.99605,-84.47464000000002,Cobb County,43881,66053
133,30519,Buford,GA,34.089419,-83.94700999999998,Gwinnett County,34672,46415
134,31520,Brunswick,GA,31.166786,-81.49213,Medina County,18048,23474
135,30379,Atlanta,GA,33.844371,-84.47405,Fulton County,,
136,30809,Evans,GA,33.551145,-82.13949000000002,Washington County,41069,45542
137,30457,Soperton,GA,32.387040999999996,-82.58272,Treutlen County,21206,5885
138,31030,Fort Valley,GA,32.555679999999995,-83.88641,Peach County,18661,17701
139,31049,Kite,GA,32.69992,-82.51380999999998,Sedgwick County,23488,1856
140,30269,Peachtree City,GA,33.398992,-84.57061999999998,Fayette County,47760,35904
141,30214,Fayetteville,GA,33.47875,-84.47668,Cumberland County,34075,29617
142,30732,Oakman,GA,34.569015,-84.711863,Walker County,,
143,30904,Augusta,GA,33.474136,-82.01018,Richmond County,21789,25784
144,31061,Milledgeville,GA,33.083579,-83.23397,Baldwin County,21715,43762
145,30228,Hampton,GA,33.401827000000004,-84.30152,,29129,42259
146,30807,Camak,GA,33.453039000000004,-82.64828,Warren County,32708,70
147,31787,Smithville,GA,31.901066,-84.25036999999998,Clay County,21579,1566
148,30259,Moreland,GA,33.277468,-84.75388000000002,Santa Clara County,31997,2886
149,30296,Riverdale,GA,33.564711,-84.43987,Sumner County,25988,28671
150,30514,Blairsville,GA,34.903398,-84.01915699999998,Union County,,
151,30815,Hephzibah,GA,33.32157,-82.08872,Richmond County,25155,40347
152,31560,Screven,GA,31.515981,-82.04908,Screven County,23512,2853
153,30172,Shannon,GA,34.333308,-85.233721,Tulsa County,,
154,30520,Canon,GA,34.338008,-83.09656,Los Angeles County,18854,5179
155,31096,Wrightsville,GA,32.71732,-82.68926,New Hanover County,20232,7046
156,30513,Blue Ridge,GA,34.851171,-84.32905,Fannin County,26086,11753
157,30034,Decatur,GA,33.693448,-84.24743000000002,DeKalb County,26893,46214
158,30756,Varnell,GA,34.9298,-84.988536,Whitfield County,18846,138
159,31516,Blackshear,GA,31.307234,-82.25779,Tom Green County,21948,14541
160,31808,Fortson,GA,32.638884999999995,-85.00735999999998,McLennan County,41761,6961
161,30124,Cave Spring,GA,34.118206,-85.34000999999998,Floyd County,27203,2896
162,30144,Kennesaw,GA,34.038949,-84.59706,Cobb County,32188,55820
163,30341,Atlanta,GA,33.888102,-84.29321,Fulton County,35314,32341
164,30504,Gainesville,GA,34.274355,-83.87003,Alachua County,24115,26966
165,30742,Fort Oglethorpe,GA,34.948979,-85.25211999999998,Catoosa County,24406,7842
166,30327,Atlanta,GA,33.86427,-84.41972,Fulton County,74521,22655
167,31031,Gordon,GA,32.891499,-83.32748000000002,Butler County,23844,6213
168,31556,Offerman,GA,31.412649,-82.11554100000002,Pierce County,18958,88
169,31641,Naylor,GA,30.934298,-83.08841,Burnet County,25788,1966
170,30024,Suwanee,GA,34.052698,-84.07485,Gwinnett County,44131,77334
171,30220,Grantville,GA,33.230734000000005,-84.82543000000003,San Diego County,26820,5375
172,31070,Pinehurst,GA,32.185677,-83.76348,Moore County,29792,985
173,31772,Oakfield,GA,31.723178000000004,-83.9628,Fond du Lac County,20446,536
174,30321,Atlanta,GA,33.844371,-84.47405,Fulton County,,
175,31009,Cadwell,GA,32.309003000000004,-83.02646999999997,Benton County,16112,1317
176,31424,Richmond Hill,GA,31.919866,-81.325815,Bryan County,,
177,31141,Atlanta,GA,33.891251000000004,-84.07455999999998,Fulton County,,
178,30288,Conley,GA,33.647275,-84.32753000000002,Clayton County,27808,9230
179,30447,Norristown,GA,32.505913,-82.49502,Montgomery County,,
180,31052,Lizella,GA,32.788484000000004,-83.80726,Bibb County,31168,8557
181,31565,Waverly,GA,31.066479,-81.62656,Bremer County,28592,2008
182,30077,Roswell,GA,33.844371,-84.47405,Chaves County,,
183,31805,Cusseta,GA,32.285535,-84.76332,Chattahoochee County,21033,2431
184,30071,Norcross,GA,33.940768,-84.2062,Gwinnett County,27095,25218
185,30731,Menlo,GA,34.553484999999995,-85.47893,Montgomery County,25386,2221
186,31648,Statenville,GA,30.703175,-83.02568000000002,Echols County,26356,912
187,30572,Suches,GA,34.731084,-84.07943,Union County,21199,796
188,31046,Juliette,GA,33.054590999999995,-83.78583,Kings County,24131,3198
189,30216,Flovilla,GA,33.251174,-83.89284,Butts County,15399,2376
190,31762,Leary,GA,31.454628000000003,-84.51726,Bowie County,,
191,30163,Rome,GA,34.333308,-85.233721,Metropolitan City of Rome,,
192,31550,Manor,GA,31.101953,-82.58299,Travis County,20547,801
193,31107,Atlanta,GA,33.844371,-84.47405,Fulton County,,
194,30562,Mountain City,GA,34.917466,-83.38486999999998,Johnson County,16843,1386
195,31027,Dublin,GA,32.569122,-82.80959,,21261,8966
196,31011,Chauncey,GA,32.108676,-83.06006,Lawrence County,23958,694
197,30012,Conyers,GA,33.696714,-84.01732,Rockdale County,24007,27605
198,31216,Macon,GA,32.730641,-83.6793,Bibb County,30960,17246
199,31726,Bronwood,GA,31.832214,-84.35727,Terrell County,,
200,31993,Columbus,GA,32.482142,-84.977131,Franklin County,,
201,30703,Calhoun,GA,34.479066,-84.76216099999998,Gordon County,,
202,30063,Marietta,GA,33.965294,-84.511209,Cobb County,,
203,30119,Carrollton,GA,33.618931,-85.073582,Dallas County,,
204,30308,Atlanta,GA,33.771755,-84.38065,Fulton County,48934,18099
205,31003,Allentown,GA,32.600621999999994,-83.22095999999998,Lehigh County,19375,88
206,30348,Atlanta,GA,33.844371,-84.47405,Fulton County,,
207,31406,Savannah,GA,31.988676,-81.09116,Chatham County,27532,35457
208,30411,Alamo,GA,32.146031,-82.792,Tulsa County,28321,4766
209,30803,Avera,GA,33.163467,-82.52017,Lincoln County,24306,965
210,31553,Nahunta,GA,31.17326,-81.97244,Wayne County,16798,4369
211,31075,Rentz,GA,32.370333,-82.96091,Pasco County,20211,2677
212,31298,Macon,GA,32.87333,-83.708399,Bibb County,,
213,31420,Savannah,GA,31.971394,-81.07155999999998,Chatham County,,
214,31637,Lenox,GA,31.291612,-83.45328,Fulton County,22323,2891
215,30374,Atlanta,GA,33.844371,-84.47405,Fulton County,,
216,30528,Cleveland,GA,34.595859000000004,-83.76194,Cuyahoga County,25071,24761
217,31801,Box Springs,GA,32.527813,-84.59822,Rogers County,22345,3240
218,31785,Sasser,GA,31.689973,-84.32748000000002,Terrell County,,
219,30098,Duluth,GA,33.960353000000005,-84.037859,St. Louis County,,
220,31217,Macon,GA,32.839005,-83.56749,Bibb County,18413,16735
221,31418,Savannah,GA,31.971394,-81.07155999999998,Chatham County,,
222,30015,Covington,GA,33.555791,-83.864915,Kenton County,,
223,30076,Roswell,GA,34.032532,-84.31774,Chaves County,34969,46442
224,31302,Bloomingdale,GA,32.129474,-81.33121,Allen County,27154,8139
225,30911,Augusta,GA,33.386041,-82.09099599999998,Richmond County,,
226,31645,Ray City,GA,31.070627,-83.20286,Berrien County,24453,5053
227,30608,Athens,GA,33.944339,-83.38908,,,
228,30812,Gracewood,GA,33.386041,-82.09099599999998,Tulsa County,16385,394
229,30606,Athens,GA,33.945619,-83.41731999999998,,25370,43716
230,31401,Savannah,GA,32.068658,-81.09258,Chatham County,18649,20256
231,30378,Atlanta,GA,33.844371,-84.47405,Fulton County,,
232,30256,Meansville,GA,33.015476,-84.32186999999998,Pike County,28670,2589
233,31411,Savannah,GA,31.927434,-81.0425,Chatham County,47151,8875
234,30906,Augusta,GA,33.387089,-82.01236999999998,Richmond County,19063,58114
235,31314,Fort Stewart,GA,31.868699,-81.61083,Liberty County,24371,1635
236,31212,Macon,GA,32.806707,-83.691315,Bibb County,,
237,31319,Meridian,GA,31.478486,-81.34528,Ada County,,
238,30358,Atlanta,GA,33.998151,-84.34111999999998,Fulton County,,
239,31337,Lenox,GA,31.271852000000006,-83.45905400000002,Fulton County,,
240,30445,Mount Vernon,GA,32.186824,-82.59170999999998,Fairfax County,14563,3929
241,30043,Lawrenceville,GA,34.001159,-84.01487,Gwinnett County,33112,90675
242,30041,Cumming,GA,34.201503,-84.09764,Forsyth County,45749,66531
243,31209,Macon,GA,32.806707,-83.691315,Bibb County,,
244,30413,Bartow,GA,32.884137,-82.50969,Polk County,19507,1805
245,31308,Ellabell,GA,32.172661,-81.48447,Bryan County,26737,7114
246,30401,Swainsboro,GA,32.605196,-82.3391,Emanuel County,20101,13598
247,30650,Madison,GA,33.588436,-83.47936,Dane County,28750,12063
248,30410,Ailey,GA,32.196136,-82.50985,New York County,26628,1715
249,30529,Commerce,GA,34.210423,-83.46842,Jackson County,25553,11435
250,31767,Morris,GA,31.834324,-84.94739,Grundy County,,
251,31823,Pine Mountain Valley,GA,32.801174,-84.82038,Harris County,25568,797
252,30390,Atlanta,GA,33.844371,-84.47405,Fulton County,,
253,30075,Roswell,GA,34.049789000000004,-84.38539,Chaves County,50257,53328
254,30080,Smyrna,GA,33.87578,-84.50381999999998,Cobb County,41132,55361
255,31083,Scotland,GA,32.046427,-82.81923,,22371,411
256,30042,Lawrenceville,GA,33.929464,-84.103226,Gwinnett County,,
257,30343,Atlanta,GA,33.844371,-84.47405,Fulton County,,
258,30810,Gibson,GA,33.236721,-82.58135,Montgomery County,23345,1906
259,30558,Maysville,GA,34.258054,-83.56058,Mason County,20858,5998
260,30738,Rising Fawn,GA,34.793833,-85.49945,Dade County,23759,3766
261,30741,Rossville,GA,34.96311,-85.27405,Clinton County,21496,28535
262,31297,Macon,GA,32.700450000000004,-83.657207,Bibb County,,
263,31626,Boston,GA,30.782963,-83.78882,Suffolk County,23785,3211
264,30060,Marietta,GA,33.932052,-84.54746,Cobb County,23485,40705
265,30309,Atlanta,GA,33.794055,-84.38525,Fulton County,63093,24744
266,31533,Douglas,GA,31.522042,-82.84153,Douglas County,19452,16499
267,30140,Felton,GA,33.88232,-85.234946,Santa Cruz County,,
268,30559,Mineral Bluff,GA,34.949755,-84.28317,Fannin County,20721,4701
269,31905,Fort Benning,GA,32.373490000000004,-84.90612,,21263,18110
270,30217,Franklin,GA,33.298014,-85.12243000000002,Crawford County,25124,9144
271,30910,Augusta,GA,33.386041,-82.09099599999998,Richmond County,,
272,30818,Matthews,GA,33.244829,-82.32636,Mecklenburg County,26968,622
273,31513,Baxley,GA,31.768849,-82.35198000000003,Appling County,20967,16247
274,30499,Reidsville,GA,32.050694,-81.998348,Rockingham County,,
275,31315,Fort Stewart,GA,31.886944,-81.60109,Liberty County,29633,7640
276,30599,Commerce,GA,34.130594,-83.587419,Jackson County,,
277,31042,Irwinton,GA,32.7615,-83.1612,Wilkinson County,22485,1477
278,30629,Comer,GA,34.072573,-83.11913,Madison County,22107,4735
279,31521,Brunswick,GA,31.241505,-81.532489,Medina County,,
280,30103,Adairsville,GA,34.368647,-84.92452,Bartow County,24570,16138
281,31776,Moultrie,GA,31.172696,-83.792379,Colquitt County,,
282,30330,Atlanta,GA,33.707107,-84.43212700000002,Fulton County,,
283,31328,Tybee Island,GA,32.006671999999995,-80.84937,Chatham County,42413,3583
284,31221,Macon,GA,32.806707,-83.691315,Bibb County,,
285,30656,Monroe,GA,33.857423,-83.71899,Ouachita Parish,29531,16129
286,31502,Waycross,GA,31.018954,-82.416543,Ware County,,
287,31698,Valdosta,GA,30.84848,-83.28775300000002,Lowndes County,2953,731
288,30548,Hoschton,GA,34.097915,-83.77864,Jackson County,36589,18630
289,31825,Richland,GA,32.109225,-84.66063,Dallas County,22500,2358
290,30236,Jonesboro,GA,33.528345,-84.33346999999998,Craighead County,26840,49694
291,30521,Carnesville,GA,34.360544,-83.28544000000002,Franklin County,25852,5042
292,31324,Richmond Hill,GA,31.906365,-81.3108,Bryan County,37143,25643
293,30132,Dallas,GA,33.945735,-84.84463000000002,Dallas County,32586,40441
294,30110,Bremen,GA,33.723939,-85.14282,,26211,13190
295,30222,Greenville,GA,33.034761,-84.73593000000002,Greenville County,20864,4116
296,31602,Valdosta,GA,30.866613,-83.30078,Lowndes County,23400,36304
