,City,County,City Latitude,City Longtitude,Population,Median Income,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital
117,Jackson,Butts County,33.29484050000001,-83.97038950000002,23245,24625,1,1,4,41,80,0.751232890858392
118,Washington,Wilkes County,33.728753999999995,-82.72612,7626,19859,1,1,2,11,63,0.9445334484001794
119,Savannah,Chatham County,32.00549926086957,-81.08729143478259,25759,26070,2,2,2,6,16,1.7107651942615612
120,Savannah,Chatham County,32.00549926086957,-81.08729143478259,25759,26070,2,2,2,6,16,1.7107651942615612
121,Blue Ridge,Fannin County,34.851171,-84.32905,11753,26086,0,1,1,12,56,5.260206276492625
122,Demorest,Habersham County,34.583082,-83.561421,7431,24391,1,1,2,12,59,1.394304521178315
123,Abbeville,,31.972626,-83.33081999999997,4563,20880,0,0,2,14,47,17.185317935457224
124,Acworth,,34.0751415,-84.651565,49841,33711,0,1,6,43,67,9.243393137288342
125,Adairsville,,34.368647,-84.92452,16138,24570,0,1,4,25,59,9.758000044405689
126,Adrian,,32.549854,-82.56948,3071,19562,0,0,1,12,46,13.303986817405338
127,Ailey,,32.196136,-82.50985,1715,26628,0,1,1,9,47,7.907635284723032
128,Alamo,,32.146031,-82.792,4766,28321,0,0,0,12,48,22.670150490430117
129,Alapaha,,31.37966500000001,-83.21803,1972,23214,0,0,3,13,34,12.228457335082936
130,Allenhurst,,31.764663,-81.6098,4006,23444,0,1,1,9,22,5.180763771633647
131,Allentown,,32.600621999999994,-83.22095999999998,88,19375,0,0,2,13,55,16.447443854894164
132,Alma,,31.551458,-82.44618,9914,20124,0,0,0,9,33,23.097285919829876
133,Alpharetta,,33.99606133333333,-84.325964,45849,53503,1,7,23,41,73,4.601926624448711
134,Alston,,32.083879,-82.47988000000002,69,26786,0,0,2,11,46,10.569741102420931
135,Alto,,34.542559999999995,-83.54953200000001,9042,20189,1,1,2,14,60,2.745964478572589
136,Ambrose,,31.57344,-83.01501999999998,2131,21716,0,1,3,12,42,9.900027213368674
137,Andersonville,,32.195361,-84.137,967,18912,0,1,2,11,43,9.24795824372412
138,Appling,,33.620669,-82.30514000000002,6147,23555,0,0,3,7,36,13.191032225773958
139,Arabi,,31.836577,-83.72045,1084,21425,0,0,1,13,42,10.3504575959798
140,Aragon,,34.065792,-85.07226999999997,4960,25169,0,1,4,30,62,7.9778747400952295
141,Argyle,,31.071563,-82.65231999999997,113,15833,0,1,1,7,29,7.124303220161331
