,Median Income,Population,State_Code,ZIP,City,State
505,22002,8160,13,19830,Country Club Estates, Georgia
183,21815,13844,13,20064,Covington, Georgia
184,15773,943,13,20288,Crawford, Georgia
496,19821,564,13,20316,Crawfordville, Georgia
368,24583,497,13,20550,Crooked Creek, Georgia
175,18472,227,13,20848,Culloden, Georgia
553,22681,6027,13,20932,Cumming, Georgia
360,21877,10767,13,21017,Cusseta-Chattahoochee County, Georgia
101,14028,3581,13,21072,Cuthbert, Georgia
151,27179,5644,13,21184,Dacula, Georgia
193,13775,6556,13,21240,Dahlonega, Georgia
433,24464,150,13,21268,Daisy, Georgia
563,26425,13014,13,21324,Dallas, Georgia
122,24485,33458,13,21380,Dalton, Georgia
312,18750,291,13,21436,Damascus, Georgia
245,33333,816,13,21632,Danielsville, Georgia
149,12969,200,13,21688,Danville, Georgia
181,19483,2500,13,21716,Darien, Georgia
242,27222,859,13,21744,Dasher, Georgia
126,2630,1903,13,21800,Davisboro, Georgia
237,15991,4222,13,21912,Dawson, Georgia
83,32315,2772,13,21940,Dawsonville, Georgia
425,17083,175,13,22472,De Soto, Georgia
617,18500,680,13,22024,Dearing, Georgia
500,54184,23054,13,22052,Decatur, Georgia
212,23438,2588,13,22080,Deenwood, Georgia
576,38750,125,13,22108,Deepstep, Georgia
492,18875,2027,13,22304,Demorest, Georgia
171,30000,149,13,22388,Denton, Georgia
369,20971,129,13,22724,Dewy Rose, Georgia
586,20128,643,13,22752,Dexter, Georgia
566,21645,372,13,22976,Dillard, Georgia
63,22122,8478,13,23200,Dock Junction, Georgia
13,20278,649,13,23284,Doerun, Georgia
222,18661,2589,13,23368,Donalsonville, Georgia
283,19375,169,13,23480,Dooling, Georgia
19,24709,10471,13,23536,Doraville, Georgia
70,19573,11556,13,23872,Douglas, Georgia
218,29495,33210,13,23900,Douglasville, Georgia
80,62188,8244,13,24264,Druid Hills, Georgia
204,22574,173,13,24796,Du Pont, Georgia
445,19133,15869,13,24376,Dublin, Georgia
191,28929,857,13,24488,Dudley, Georgia
213,34483,29239,13,24600,Duluth, Georgia
370,55759,49016,13,24768,Dunwoody, Georgia
371,63125,1013,13,24876,Dutch Island, Georgia
372,-666666666,0,13,24964,Eagle Grove, Georgia
173,22050,2725,13,25300,East Dublin, Georgia
434,20785,669,13,25356,East Ellijay, Georgia
224,21408,1316,13,25440,East Griffin, Georgia
462,19275,1134,13,25692,East Newnan, Georgia
548,24501,34977,13,25720,East Point, Georgia
165,19234,5209,13,25552,Eastman, Georgia
17,21151,6529,13,26084,Eatonton, Georgia
