City,Unnamed: 0,ZIP,State,Latitude,Longitude,County,Median Income,Total Population
Abbeville,465,31001,GA,31.972626,-83.33081999999997,Abbeville County,20880.0,4563.0
Acworth,313,30102,GA,34.097998,-84.6183,Cobb County,33711.5,99683.0
Adairsville,280,30103,GA,34.368646999999996,-84.92452,Bartow County,24570.0,16138.0
Adel,673,31620,GA,31.133004,-83.42736,Dallas County,25632.0,10836.0
Adrian,733,31002,GA,32.549853999999996,-82.56948,Lenawee County,19562.0,3071.0
Ailey,248,30410,GA,32.196135999999996,-82.50985,New York County,26628.0,1715.0
Alamo,208,30411,GA,32.146031,-82.792,Tulsa County,28321.0,4766.0
Alapaha,668,31622,GA,31.37966500000001,-83.21803,Berrien County,23214.0,1972.0
Albany,70,31700,GA,31.564273999999997,-84.165407,Albany County,21141.5,97727.0
Allenhurst,472,31301,GA,31.764663,-81.6098,Monmouth County,23444.0,4006.0
Allentown,205,31003,GA,32.600621999999994,-83.22095999999998,Lehigh County,19375.0,88.0
Alma,84,31510,GA,31.551458,-82.44618,Crawford County,20124.0,9914.0
Alpharetta,123,30005,GA,34.080034999999995,-84.21929,Fulton County,49413.5,189192.0
Alston,828,30412,GA,32.083878999999996,-82.47988000000002,Dorchester County,26786.0,69.0
Alto,770,30510,GA,34.455729,-83.58913000000003,Cherokee County,20189.0,9042.0
Ambrose,329,31512,GA,31.57344,-83.01501999999998,Baltimore County,21716.0,2131.0
Americus,23,31719,GA,32.085491,-84.25266500000002,Sumter County,21422.0,24804.0
Andersonville,908,31711,GA,32.195361,-84.137,Cook County,18912.0,967.0
Appling,380,30802,GA,33.620669,-82.30514000000002,Shelby County,23555.0,6147.0
Arabi,897,31712,GA,31.836577000000002,-83.72045,St. Bernard Parish,21425.0,1084.0
Aragon,968,30104,GA,34.065792,-85.07226999999997,,,
Argyle,661,31623,GA,31.071563,-82.65231999999997,Denton County,15833.0,113.0
Arlington,518,31713,GA,31.427845,-84.71025,Tarrant County,,
Armuchee,469,30105,GA,34.448075,-85.15313,Floyd County,30729.0,1776.0
Arnoldsville,752,30619,GA,33.863663,-83.24825,Oglethorpe County,22368.0,1277.0
Ashburn,14,31714,GA,31.709742,-83.66519,Loudoun County,22190.0,5866.0
Athens,227,30608,GA,33.944339,-83.38908,,,
Atlanta,0,31150,GA,33.844371,-84.47405,Fulton County,35863.5,988350.0
Attapulgus,819,31715,GA,30.743234,-84.48229,Decatur County,,
Auburn,607,30011,GA,34.022974,-83.83416,Lee County,26042.0,15428.0
Augusta,32,30919,GA,33.386041,-82.09099599999998,Richmond County,22314.0,204303.0
Austell,547,30168,GA,33.797456,-84.60621,Cobb County,27179.0,48043.0
Avera,209,30803,GA,33.163467,-82.52017,Lincoln County,24306.0,965.0
Avondale Estates,717,30002,GA,33.772121999999996,-84.26491,DeKalb County,35693.0,5920.0
Axson,903,31624,GA,31.297883000000002,-82.71029,Atkinson County,24761.0,1468.0
Baconton,580,31716,GA,31.3709,-84.12921,Mitchell County,22798.0,2960.0
Bainbridge,337,31718,GA,30.901863,-84.570049,Decatur County,,
Baldwin,848,30511,GA,34.469971,-83.50035,Douglas County,25438.0,4009.0
Ball Ground,902,30107,GA,34.344939000000004,-84.37204,Cherokee County,33798.0,14606.0
Barnesville,659,30204,GA,33.05413,-84.14862,Lamar County,18894.0,12940.0
Barney,363,31625,GA,31.003273999999998,-83.5282,Sedgwick County,19658.0,972.0
Bartow,244,30413,GA,32.884137,-82.50969,Polk County,19507.0,1805.0
Barwick,711,31720,GA,30.890906,-83.73816,Th̩r̬se-De Blainville,22176.0,296.0
Baxley,273,31513,GA,31.768849,-82.35198000000003,Appling County,20967.0,16247.0
Bellville,390,30414,GA,32.154990000000005,-81.97825999999998,Austin County,,
Berlin,977,31722,GA,31.067313000000002,-83.62288000000002,,,
Bethlehem,804,30620,GA,33.928948999999996,-83.73524,,,
Bishop,496,30621,GA,33.804849,-83.48164,Inyo County,39174.0,5726.0
Blackshear,159,31516,GA,31.307234,-82.25779,Tom Green County,21948.0,14541.0
Blairsville,150,30514,GA,34.903397999999996,-84.01915699999998,Union County,24412.0,21080.0
Blakely,348,31723,GA,31.334336999999998,-84.94899000000002,Early County,,
Bloomingdale,224,31302,GA,32.129474,-81.33121,Allen County,27154.0,8139.0
Blue Ridge,156,30513,GA,34.851171,-84.32905,Fannin County,26086.0,11753.0
Bluffton,746,31724,GA,31.528299,-84.86025,Beaufort County,,
Blythe,666,30805,GA,33.297318,-82.21503,Riverside County,24571.0,2735.0
Bogart,766,30622,GA,33.927792,-83.51552,Oconee County,31600.0,11803.0
Bolingbroke,901,31004,GA,32.946971000000005,-83.800628,Monroe County,,
Bonaire,490,31005,GA,32.556668,-83.62435,,,
Boneville,96,30806,GA,33.527993,-82.5104,McDuffie County,,
Boston,263,31626,GA,30.782963,-83.78882,Suffolk County,23785.0,3211.0
Bostwick,840,30623,GA,33.754234999999994,-83.511055,Putnam County,17714.0,130.0
Bowdon,339,30108,GA,33.533934,-85.26088,Carroll County,21243.0,7351.0
Bowdon Junction,863,30109,GA,33.653355,-85.136227,Carroll County,,
Bowersville,829,30516,GA,34.370551,-83.05998000000002,Hart County,21774.0,2012.0
Bowman,849,30624,GA,34.193943,-83.03375,Bowman County,23739.0,3256.0
Box Springs,217,31801,GA,32.527813,-84.59822,Rogers County,22345.0,3240.0
Braselton,647,30517,GA,34.121974,-83.78604,Jackson County,37419.0,14657.0
Bremen,294,30110,GA,33.723939,-85.14282,,,
Brinson,430,31725,GA,30.945016,-84.72284,Navarro County,,
Bristol,824,31518,GA,31.513510999999998,-82.18481,Sullivan County,20565.0,927.0
Bronwood,199,31726,GA,31.832214,-84.35727,Terrell County,,
Brookfield,464,31727,GA,31.44172,-83.503715,Cook County,,
Brooklet,9,30415,GA,32.3456,-81.62339,Bulloch County,30633.0,6161.0
Brooks,495,30205,GA,33.275707000000004,-84.46706,Wilson County,35662.0,2864.0
Broxton,802,31519,GA,31.67654000000001,-82.88991,Los Angeles County,25177.0,3474.0
Brunswick,10,31525,GA,31.260995,-81.49831999999998,Medina County,26050.0,66927.0
Buchanan,688,30113,GA,33.846270000000004,-85.20291,Botetourt County,24277.0,6649.0
Buckhead,341,30625,GA,33.527207000000004,-83.34676,Fulton County,26886.0,2140.0
Buena Vista,521,31803,GA,32.315915000000004,-84.52238,Chaffee County,21835.0,5487.0
Buford,133,30519,GA,34.089419,-83.94700999999998,Gwinnett County,34818.5,99103.0
Butler,854,31006,GA,32.563544,-84.2461,Butler County,23952.0,4476.0
Byromville,865,31007,GA,32.199721000000004,-83.91327,Dooly County,18878.0,1132.0
Byron,104,31008,GA,32.652313,-83.75918,Cook County,31807.0,18381.0
Cadwell,175,31009,GA,32.309003000000004,-83.02646999999997,Benton County,16112.0,1317.0
Cairo,485,31728,GA,30.870390000000004,-84.21343,,,
Calhoun,201,30703,GA,34.479065999999996,-84.76216099999998,Gordon County,24110.0,40820.0
Calvary,787,31729,GA,30.729915000000002,-84.34761999999998,Wilson County,,
Camak,146,30807,GA,33.453039000000004,-82.64828,Warren County,32708.0,70.0
Camilla,883,31730,GA,31.209853999999996,-84.23666999999998,Mitchell County,21584.0,8419.0
Canon,154,30520,GA,34.338008,-83.09656,Los Angeles County,18854.0,5179.0
Canton,57,30114,GA,34.228478,-84.50402,Stark County,34793.0,94315.0
Carlton,595,30627,GA,33.994139000000004,-82.97819,Tulsa County,21594.0,2393.0
Carnesville,291,30521,GA,34.360544,-83.28544000000002,Franklin County,25852.0,5042.0
Carrollton,203,30119,GA,33.618930999999996,-85.073582,Dallas County,21845.0,61916.0
Cartersville,108,30121,GA,34.200264000000004,-84.77533000000003,Bartow County,28639.0,64626.0
Cassville,969,30123,GA,34.244178999999995,-84.84568399999998,Barry County,,
Cataula,749,31804,GA,32.651617,-84.88805,Harris County,33027.0,5865.0
Cave Spring,161,30124,GA,34.118206,-85.34000999999998,Floyd County,27203.0,2896.0
Cecil,416,31627,GA,31.047996,-83.39135,Tulsa County,20703.0,247.0
Cedar Springs,5,31732,GA,31.169794,-85.0557,Kent County,,
Cedartown,397,30125,GA,34.010162,-85.25761999999997,Polk County,23343.0,23814.0
Centerville,493,31028,GA,32.632111,-83.67795,Montgomery County,34868.0,6464.0
Chatsworth,876,30705,GA,34.753129,-84.77502,Los Angeles County,24457.0,33460.0
Chauncey,196,31011,GA,32.108676,-83.06006,Lawrence County,23958.0,694.0
Cherrylog,486,30522,GA,34.801665,-84.37931,Gilmer County,23906.0,897.0
Chester,667,31012,GA,32.396381,-83.16892,Cheshire West and Chester,24198.0,3099.0
Chestnut Mountain,598,30502,GA,34.212993,-83.79485799999998,Jo Daviess County,,
Chickamauga,555,30707,GA,34.827019,-85.32883000000002,Walker County,25303.0,15956.0
Chula,767,31733,GA,31.592199,-83.48004,San Diego County,26181.0,1319.0
Cisco,912,30708,GA,34.945576,-84.7113,Benton County,33011.0,234.0
Clarkdale,28,30111,GA,33.912473,-84.557181,Yavapai County,,
Clarkesville,758,30523,GA,34.700311,-83.51879,Habersham County,25393.0,12230.0
Clarkston,620,30021,GA,33.809604,-84.2387,Oakland County,20929.0,24137.0
Claxton,594,30417,GA,32.162077000000004,-81.90984,Evans County,23948.0,10777.0
Clayton,379,30525,GA,34.882362,-83.4156,Johnston County,19946.0,7305.0
Clermont,82,30527,GA,34.481514000000004,-83.78599,Lake County,26373.0,4377.0
Cleveland,216,30528,GA,34.595859000000004,-83.76194,Cuyahoga County,25071.0,24761.0
Climax,564,31734,GA,30.880959999999998,-84.42415,Greenwood County,,
Clinchfield,95,31013,GA,32.338639,-83.692562,Unicoi County,,
Clyo,881,31303,GA,32.508239,-81.3128,Effingham County,26986.0,2621.0
Cobb,919,31735,GA,31.959366999999997,-83.96028000000003,McDonald County,15755.0,715.0
Cobbtown,622,30420,GA,32.301639,-82.11842,Tattnall County,22266.0,845.0
Cochran,418,31014,GA,32.397039,-83.3404,Dallas County,22125.0,13265.0
Cohutta,54,30710,GA,34.935105,-84.94641999999997,Whitfield County,31602.0,7154.0
Colbert,392,30628,GA,34.041416,-83.21996999999998,Bryan County,26875.0,6874.0
